bulk_symbols,structure
Cd8 Ga16 O32,"Full Formula (Cd2 Ga4 O8)
Reduced Formula: Cd(GaO2)2
abc   :   6.106695   6.106695   6.106695
angles:  60.000001  60.000000  60.000001
pbc   :       True       True       True
Sites (14)
  #  SP            a         b         c    magmom
---  ----  ---------  --------  --------  --------
  0  Cd     0.875     0.875     0.875           -0
  1  Cd     0.125     0.125     0.125           -0
  2  Ga     0.5       0         0.5              0
  3  Ga    -0         0.5       0.5              0
  4  Ga     0.5       0.5       0                0
  5  Ga     0.5       0.5       0.5              0
  6  O      0.731789  0.731789  0.731789         0
  7  O      0.268211  0.268211  0.695369         0
  8  O      0.268211  0.695369  0.268211         0
  9  O      0.695369  0.268211  0.268211         0
 10  O      0.731789  0.304631  0.731789         0
 11  O      0.304631  0.731789  0.731789         0
 12  O      0.268211  0.268211  0.268211         0
 13  O      0.731789  0.731789  0.304631         0"
Li8 Zr4 O12,"Full Formula (Li4 Zr2 O6)
Reduced Formula: Li2ZrO3
abc   :   5.247199   5.247200   5.384959
angles: 100.902407 100.902408 118.708681
pbc   :       True       True       True
Sites (12)
  #  SP           a         b          c    magmom
---  ----  --------  --------  ---------  --------
  0  Li    0.740261  0.259739   0.25            -0
  1  Li    0.259739  0.740261   0.75            -0
  2  Li    0.424163  0.575837   0.25            -0
  3  Li    0.575837  0.424163   0.75            -0
  4  Zr    0.091302  0.908698   0.25             0
  5  Zr    0.908698  0.091302   0.75             0
  6  O     0         0.5       -0                0
  7  O     0.692     0.843755   0.988264         0
  8  O     0.843755  0.692      0.488264         0
  9  O     0.308     0.156245   0.011736         0
 10  O     0.156245  0.308      0.511736         0
 11  O     0.5       0          0.5              0"
Al3 Ag3 O6,"Full Formula (Al2 Ag2 O4)
Reduced Formula: AlAgO2
abc   :   2.877864   2.877865  12.249308
angles:  90.000000  90.000000 120.000002
pbc   :       True       True       True
Sites (8)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Al    0         0         0                0
  1  Al    0         0         0.5              0
  2  Ag    0.666667  0.333333  0.75            -0
  3  Ag    0.333333  0.666667  0.25            -0
  4  O     0.333333  0.666667  0.422179         0
  5  O     0.666667  0.333333  0.922179         0
  6  O     0.333333  0.666667  0.077821         0
  7  O     0.666667  0.333333  0.577821         0"
Ba1 Hf1 O3,"Full Formula (Ba1 Hf1 O3)
Reduced Formula: BaHfO3
abc   :   4.170042   4.169091   4.170377
angles:  89.999464  89.994340  89.998840
pbc   :       True       True       True
Sites (5)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Ba    0.987924  0.999965  0.996425        -0
  1  Hf    0.488007  0.499987  0.497875        -0
  2  O     0.488031  8e-06     0.49889          0
  3  O     0.987997  0.500027  0.498865        -0
  4  O     0.488042  0.500012  0.997941        -0"
Mg4 Ag8 O16,"Full Formula (Mg4 Ag8 O16)
Reduced Formula: Mg(AgO2)2
abc   :   3.185266   9.824921  10.824399
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (28)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Mg    0.344158  0.75      0.851416        -0
  1  Mg    0.344158  0.25      0.648584        -0
  2  Mg    0.655842  0.75      0.351416        -0
  3  Mg    0.655842  0.25      0.148584        -0
  4  Ag    0.83451   0.571516  0.615378         0
  5  Ag    0.83451   0.071516  0.884622         0
  6  Ag    0.16549   0.071516  0.384622         0
  7  Ag    0.83451   0.428484  0.884622         0
  8  Ag    0.16549   0.428484  0.384622         0
  9  Ag    0.83451   0.928484  0.615378         0
 10  Ag    0.16549   0.928484  0.115378         0
 11  Ag    0.16549   0.571516  0.115378         0
 12  O     0.132737  0.874966  0.450233         0
 13  O     0.867263  0.125034  0.549767         0
 14  O     0.463591  0         0.75             0
 15  O     0.867263  0.874966  0.950233         0
 16  O     0.867263  0.625034  0.950233         0
 17  O     0.836096  0.25      0.784782         0
 18  O     0.132737  0.125034  0.049767         0
 19  O     0.163904  0.25      0.284782         0
 20  O     0.463591  0.5       0.75             0
 21  O     0.536409  0         0.25             0
 22  O     0.132737  0.625034  0.450233         0
 23  O     0.163904  0.75      0.215218         0
 24  O     0.836096  0.75      0.715218         0
 25  O     0.536409  0.5       0.25             0
 26  O     0.132737  0.374966  0.049767         0
 27  O     0.867263  0.374966  0.549767         0"
Cs8 Au8 O8,"Full Formula (Cs4 Au4 O4)
Reduced Formula: CsAuO
abc   :   6.224724   7.866782   7.866783
angles:  80.995055  66.681511  66.681513
pbc   :       True       True       True
Sites (12)
  #  SP            a          b          c    magmom
---  ----  ---------  ---------  ---------  --------
  0  Cs     0.199835   0.300208   0.300208         0
  1  Cs     0.5        0.699875   0.300125         0
  2  Cs     0.5        0.300125   0.699875         0
  3  Cs     0.800165   0.699792   0.699792         0
  4  Au     0.854357   1e-05      0.29137         -0
  5  Au     0.145643   0.70863   -1e-05           -0
  6  Au     0.854357   0.29137    1e-05           -0
  7  Au     0.145643  -1e-05      0.70863         -0
  8  O      0.718645   0.28143    0.28143          0
  9  O      0          0.718663   0.281337        -0
 10  O     -0          0.281337   0.718663        -0
 11  O      0.281355   0.71857    0.71857          0"
Y16 Hg8 O32,"Full Formula (Y4 Hg2 O8)
Reduced Formula: Y2HgO4
abc   :   3.606137   7.034749   8.778758
angles: 101.649250 101.847740  75.144418
pbc   :       True       True       True
Sites (14)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Y     0.381703  0.77653   0.537846        -0
  1  Y     0.840715  0.519925  0.198768        -0
  2  Y     0.160983  0.479999  0.799729         0
  3  Y     0.619757  0.223509  0.460708         0
  4  Hg    0.114066  0.934996  0.160512         0
  5  Hg    0.887868  0.064904  0.838088         0
  6  O     0.76698   0.854066  0.385649         0
  7  O     0.203214  0.649469  0.05341         -0
  8  O     0.965682  0.787406  0.716857         0
  9  O     0.418261  0.512522  0.346503        -0
 10  O     0.583285  0.487564  0.652025        -0
 11  O     0.035789  0.212575  0.281681         0
 12  O     0.798744  0.350447  0.945119         0
 13  O     0.234521  0.146111  0.612975         0"
Ge4 O8,"Full Formula (Ge2 O4)
Reduced Formula: GeO2
abc   :   2.876514   4.412424   4.412424
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (6)
  #  SP       a         b         c    magmom
---  ----  ----  --------  --------  --------
  0  Ge     0.5  0.5       0.5              0
  1  Ge     0    0         0                0
  2  O     -0    0.694229  0.694229        -0
  3  O      0.5  0.805771  0.194229        -0
  4  O      0    0.305771  0.305771        -0
  5  O      0.5  0.194229  0.805771        -0"
Zn1 Au1 O3,"Full Formula (Zn1 Au1 O3)
Reduced Formula: ZnAuO3
abc   :   3.934248   3.934248   3.934248
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (5)
  #  SP      a    b    c    magmom
---  ----  ---  ---  ---  --------
  0  Zn    0.5  0.5  0.5     0.117
  1  Au    0    0    0       0.405
  2  O     0.5  0.5  0       0.504
  3  O     0.5  0    0.5     0.827
  4  O     0    0.5  0.5     0.651"
Pd7 O8,"Full Formula (Pd42 O48)
Reduced Formula: Pd7O8
abc   :   5.785947   7.787312  25.377481
angles:  89.753036  90.000000  90.000000
pbc   :       True       True       True
Sites (90)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Pd    0         0.253026  0.917464     0.27
  1  Pd    0         0.871316  0.626748     0.015
  2  Pd    0         0.125505  0.705469     0.021
  3  Pd    0.749941  0.5       0            0.029
  4  Pd    0.749648  0.995816  0.166684     0.003
  5  Pd    0.751542  0.499934  0.33398      0.003
  6  Pd    0.752557  0         0.5          0.003
  7  Pd    0.751542  0.500066  0.66602      0.003
  8  Pd    0.749648  0.004184  0.833316     0.003
  9  Pd    0.5       0.747726  0.251381     0.273
 10  Pd    0.5       0.250922  0.416936     0.331
 11  Pd    0.5       0.749078  0.583064     0.331
 12  Pd    0.5       0.252274  0.748619     0.273
 13  Pd    0.5       0.12911   0.96111      0.04
 14  Pd    0.5       0.87089   0.03889      0.04
 15  Pd    0.5       0.62204   0.123622     0.015
 16  Pd    0.5       0.37558   0.208242    -0.009
 17  Pd    0.5       0.118936  0.289373     0.011
 18  Pd    0.5       0.882362  0.378302     0.017
 19  Pd    0.5       0.618739  0.45572      0.028
 20  Pd    0.5       0.117638  0.621698     0.017
 21  Pd    0.5       0.381261  0.54428      0.028
 22  Pd    0.5       0.62442   0.791758    -0.009
 23  Pd    0.5       0.881064  0.710627     0.011
 24  Pd    0.5       0.37796   0.876378     0.015
 25  Pd    0.250059  0.5       0            0.029
 26  Pd    0.248458  0.499934  0.33398      0.003
 27  Pd    0.250352  0.995816  0.166684     0.003
 28  Pd    0.247443  0         0.5          0.003
 29  Pd    0.248458  0.500066  0.66602      0.003
 30  Pd    0.250352  0.004184  0.833316     0.003
 31  Pd    0         0.882891  0.955829     0.031
 32  Pd    0         0.376394  0.125789     0.006
 33  Pd    0         0.746974  0.082536     0.27
 34  Pd    0         0.874495  0.294531     0.021
 35  Pd    0         0.373329  0.460523     0.01
 36  Pd    0         0.117109  0.044171     0.031
 37  Pd    0         0.378208  0.789655     0.017
 38  Pd    0         0.621792  0.210345     0.017
 39  Pd    0         0.128684  0.373252     0.015
 40  Pd    0         0.626671  0.539477     0.01
 41  Pd    0         0.623606  0.874211     0.006
 42  O     0.774559  0.533377  0.080975     0.01
 43  O     0.72867   0.964019  0.248795     0.012
 44  O     0.729434  0.463089  0.41501      0.016
 45  O     0.774559  0.466623  0.919025     0.01
 46  O     0.729483  0.961223  0.581193     0.015
 47  O     0.725116  0.468162  0.747094     0.01
 48  O     0.770825  0.960573  0.084682     0.012
 49  O     0.725116  0.531838  0.252906     0.01
 50  O     0.770825  0.039427  0.915318     0.012
 51  O     0.729483  0.038777  0.418807     0.015
 52  O     0.74763   0.736357  0.167693     0.101
 53  O     0.743992  0.757331  0.992835     0.062
 54  O     0.729434  0.536911  0.58499      0.016
 55  O     0.72867   0.035981  0.751205     0.012
 56  O     0.743992  0.242669  0.007165     0.062
 57  O     0.750074  0.252576  0.166871    -0.002
 58  O     0.742714  0.25828   0.50231      0.058
 59  O     0.750072  0.758525  0.338543     0.047
 60  O     0.742714  0.74172   0.49769      0.058
 61  O     0.742837  0.757798  0.668869     0.058
 62  O     0.742837  0.242202  0.331131     0.058
 63  O     0.74763   0.263643  0.832307     0.101
 64  O     0.750072  0.241475  0.661457     0.047
 65  O     0.750074  0.747424  0.833129    -0.002
 66  O     0.256008  0.757331  0.992835     0.062
 67  O     0.256008  0.242669  0.007165     0.062
 68  O     0.229175  0.039427  0.915318     0.012
 69  O     0.225441  0.533377  0.080975     0.01
 70  O     0.249928  0.758525  0.338543     0.047
 71  O     0.257286  0.25828   0.50231      0.058
 72  O     0.249926  0.252576  0.166871    -0.002
 73  O     0.27133   0.964019  0.248795     0.012
 74  O     0.270566  0.463089  0.41501      0.016
 75  O     0.257163  0.242202  0.331131     0.058
 76  O     0.257163  0.757798  0.668869     0.058
 77  O     0.25237   0.263643  0.832307     0.101
 78  O     0.25237   0.736357  0.167693     0.101
 79  O     0.257286  0.74172   0.49769      0.058
 80  O     0.270517  0.961223  0.581193     0.015
 81  O     0.249928  0.241475  0.661457     0.047
 82  O     0.249926  0.747424  0.833129    -0.002
 83  O     0.225441  0.466623  0.919025     0.01
 84  O     0.229175  0.960573  0.084682     0.012
 85  O     0.274884  0.468162  0.747094     0.01
 86  O     0.274884  0.531838  0.252906     0.01
 87  O     0.270517  0.038777  0.418807     0.015
 88  O     0.270566  0.536911  0.58499      0.016
 89  O     0.27133   0.035981  0.751205     0.012"
Zn2 Bi24 O40,"Full Formula (Zn1 Bi12 O20)
Reduced Formula: Zn(Bi3O5)4
abc   :   8.831679   8.831679   8.831679
angles: 109.471221 109.471221 109.471221
pbc   :       True       True       True
Sites (33)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Zn    0         0         0            0.001
  1  Bi    0.832712  0.691796  0.510952     0.014
  2  Bi    0.140916  0.819156  0.308204     0.013
  3  Bi    0.32176   0.489048  0.180844     0.014
  4  Bi    0.489048  0.180844  0.32176      0.013
  5  Bi    0.67824   0.859084  0.167288     0.013
  6  Bi    0.510952  0.832712  0.691796     0.013
  7  Bi    0.691796  0.510952  0.832712     0.014
  8  Bi    0.308204  0.140916  0.819156     0.013
  9  Bi    0.859084  0.167288  0.67824      0.013
 10  Bi    0.180844  0.32176   0.489048     0.014
 11  Bi    0.167288  0.67824   0.859084     0.013
 12  Bi    0.819156  0.308204  0.140916     0.013
 13  O     0         0         0.621383     0.053
 14  O     0         0.621383  0            0.053
 15  O     0.378617  0.378617  0.378617     0.054
 16  O     0.621383  0         0            0.053
 17  O     0.358431  0.239389  0.619897     0.058
 18  O     0.119042  0.380509  0.760611     0.056
 19  O     0.738534  0.380103  0.619491     0.056
 20  O     0.380103  0.619491  0.738534     0.056
 21  O     0.261466  0.880958  0.641569     0.056
 22  O     0.619897  0.358431  0.239389     0.057
 23  O     0.239389  0.619897  0.358431     0.057
 24  O     0.760611  0.119042  0.380509     0.056
 25  O     0.880958  0.641569  0.261466     0.056
 26  O     0.619491  0.738534  0.380103     0.057
 27  O     0.641569  0.261466  0.880958     0.057
 28  O     0.380509  0.760611  0.119042     0.057
 29  O     0         0         0.2298       0.112
 30  O     0         0.2298    0            0.112
 31  O     0.7702    0.7702    0.7702       0.117
 32  O     0.2298    0         0            0.112"
K4 Co8 O16,"Full Formula (K4 Co8 O16)
Reduced Formula: K(CoO2)2
abc   :   5.625789   4.874268  12.426337
angles:  90.019610  90.043939  90.015291
pbc   :       True       True       True
Sites (28)
  #  SP            a         b         c    magmom
---  ----  ---------  --------  --------  --------
  0  K      5e-05     0.0389    0.249966     0.001
  1  K      0.998871  0.363942  0.750207     0.001
  2  K      0.501198  0.636035  0.249653     0.001
  3  K      0.49995   0.96109   0.750171     0.001
  4  Co    -0         0.999808  0.998529     0.39
  5  Co    -0.00057   0.999838  0.501396    -0.301
  6  Co     0.249996  0.499958  5e-06        0.447
  7  Co     0.249998  0.500023  0.500006     0.928
  8  Co     0.49998   0.000126  0.001472     0.389
  9  Co     0.500602  0.000194  0.498602    -0.303
 10  Co     0.750011  0.500026  0.500004    -0.205
 11  Co     0.750005  0.499965  3e-06        0.446
 12  O      0.000225  0.334068  0.424701    -0.018
 13  O      7.6e-05   0.333665  0.075392     0.044
 14  O     -0.000101  0.668391  0.576991    -0.03
 15  O     -0.000128  0.668132  0.92296      0.044
 16  O      0.248448  0.832589  0.421818    -0.002
 17  O      0.248855  0.833947  0.078029     0.024
 18  O      0.25153   0.167469  0.578184    -0.002
 19  O      0.251129  0.165956  0.921967     0.023
 20  O      0.500112  0.331642  0.423024    -0.031
 21  O      0.500114  0.331803  0.077049     0.044
 22  O      0.499788  0.666023  0.57528     -0.018
 23  O      0.499906  0.666247  0.9246       0.044
 24  O      0.751017  0.835174  0.422177    -0.007
 25  O      0.751383  0.833963  0.078023     0.023
 26  O      0.749034  0.164884  0.577822    -0.007
 27  O      0.748621  0.165941  0.921972     0.023"
